# Lane-Emden solution for 3D geometry, n=1.5
# xi_1 = 3.6537540101e+00
# dtheta_1 = -2.0331244769e-01
# n_points = 366
# Columns: xi  theta  dtheta/dxi
3.3333333334e+00  7.1184734068e-02  -2.4179190829e-01
3.3433433434e+00  6.8770707544e-02  -2.4053096351e-01
3.3533533534e+00  6.6369291327e-02  -2.3927239426e-01
3.3633633634e+00  6.3980460999e-02  -2.3801633063e-01
3.3733733734e+00  6.1604190739e-02  -2.3676290474e-01
3.3833833834e+00  5.9240453533e-02  -2.3551224720e-01
3.3933933935e+00  5.6889221084e-02  -2.3426448836e-01
3.4034034035e+00  5.4550463741e-02  -2.3301975980e-01
3.4134134135e+00  5.2224150492e-02  -2.3177819429e-01
3.4234234235e+00  4.9910248968e-02  -2.3053992579e-01
3.4334334335e+00  4.7608725445e-02  -2.2930508949e-01
3.4434434435e+00  4.5319544837e-02  -2.2807382178e-01
3.4534534535e+00  4.3042670702e-02  -2.2684626023e-01
3.4634634635e+00  4.0778065241e-02  -2.2562254363e-01
3.4734734735e+00  3.8525689296e-02  -2.2440281198e-01
3.4834834835e+00  3.6285502351e-02  -2.2318720647e-01
3.4934934936e+00  3.4057462496e-02  -2.2197587004e-01
3.5035035036e+00  3.1841526133e-02  -2.2076895144e-01
3.5135135136e+00  2.9637648362e-02  -2.1956659956e-01
3.5235235236e+00  2.7445782731e-02  -2.1836896745e-01
3.5335335336e+00  2.5265881157e-02  -2.1717621349e-01
3.5435435436e+00  2.3097893918e-02  -2.1598850143e-01
3.5535535536e+00  2.0941769661e-02  -2.1480600036e-01
3.5635635636e+00  1.8797455399e-02  -2.1362888471e-01
3.5735735736e+00  1.6664896414e-02  -2.1245733621e-01
3.5835835836e+00  1.4544035992e-02  -2.1129154776e-01
3.5935935937e+00  1.2434815550e-02  -2.1013172160e-01
3.6036036037e+00  1.0337174215e-02  -2.0897808017e-01
3.6136136137e+00  8.2510487804e-03  -2.0783086683e-01
3.6236236237e+00  6.1763736903e-03  -2.0669034704e-01
3.6336336337e+00  4.1130805134e-03  -2.0555682553e-01
3.6436436437e+00  2.0610973575e-03  -2.0443067745e-01
3.6536536537e+00  2.0347955350e-05  -2.0331244769e-01
